,x,y,rssi1,rssi2,rssi3,rssi4,rssi5,rssi1_std_dev,rssi2_std_dev,rssi3_std_dev,rssi4_std_dev,rssi5_std_dev
0,0.0,0.6,-32.7,-40.45,-54.25,-48.55,-44.65,7.705773638540201,6.468343967679096,4.609772228646447,5.771755183194871,6.037383539249432
1,0.0,1.2,-30.45,-43.2,-44.65,-46.4,-44.9,1.5381123085406383,9.384197242957805,13.393930282820374,4.903274952840999,10.48758664728023
2,0.0,1.8,-36.9,-33.55,-48.35,-44.5,-42.25,10.706122203280653,1.9861361590045294,7.7952414634624505,4.1612245161351495,7.268352452132537
3,0.0,2.4,-36.75,-45.3,-46.65,-44.5,-38.75,4.655217785622811,3.8675437601715776,1.4608937423083823,2.1151085576221162,5.138861229576268
4,0.0,3.0,-40.65,-46.45,-49.5,-51.65,-34.6,4.682273401941232,3.8862104393544312,2.5649458802128846,3.5729244987382827,4.441431727435837
5,0.0,3.6,-43.85,-44.8,-46.9,-46.55,-34.45,2.996050031203365,4.36010622758087,3.9456838510746897,5.558066683943069,2.6650762801367187
6,0.0,4.2,-41.25,-46.7,-47.95,-43.85,-32.6,2.3813972015560414,7.370638764006393,4.489461343846803,3.856300381399113,1.759186414825121
7,0.0,4.8,-37.35,-43.8,-49.55,-43.65,-36.2,3.616846547390202,5.094889079935117,1.4680814547887788,2.300457620378583,1.5761378513048243
8,0.0,5.4,-39.55,-36.4,-42.3,-45.65,-36.6,4.285532577601552,3.0847673289381494,4.531759272651534,7.949015165746206,1.0462967275611934
9,0.0,6.0,-45.0,-44.1,-43.15,-31.15,-47.5,5.767422118653779,3.1606128652858634,4.055859958134649,1.755442664221313,7.6123168891640764
10,0.0,6.6,-41.35,-47.2,-53.5,-24.45,-39.9,1.6944180805158287,5.800181485363875,7.0524351897244095,1.356271980176,3.6404164018622067
11,0.6,6.6,-49.3,-57.9,-41.15,-29.5,-44.9,1.2607433062326874,6.273587070954072,1.9540780569443925,2.2594829403858614,2.381949665825522
12,0.6,6.0,-45.05,-54.1,-41.8,-43.45,-37.7,5.80811591880842,4.655500425359912,1.507874069850103,2.3502519461807316,3.197038102928856
13,0.6,4.2,-43.4,-47.55,-45.5,-37.7,-31.1,6.418722614352484,2.7620549177054854,2.188486619609663,3.130495168499707,2.4473401243412254
14,0.6,3.6,-43.95,-48.1,-42.65,-36.55,-36.65,8.994003850519407,8.831164910939583,5.060424363315995,2.723677854048011,2.9784312366712355
15,0.6,3.0,-47.7,-41.25,-41.35,-39.85,-33.35,13.650139771792585,1.4095538674570607,3.7595492450978467,2.777257261172764,15.037759491570403
16,0.6,2.4,-36.0,-44.2,-43.2,-41.05,-33.5,3.260610210891271,4.629425336623156,1.4725559590832464,4.454152409180733,2.665569949915916
17,0.6,1.8,-32.9,-47.0,-41.75,-51.1,-31.45,2.074912807299318,3.8388594797495728,1.7733405882980464,2.7890764364608303,1.5381123085406379
18,0.6,1.2,-31.9,-37.55,-46.8,-47.25,-36.65,0.6407232755171866,4.795557154393286,0.7677718959499144,4.265837364580679,4.869615785124823
19,0.6,0.6,-36.05,-32.65,-53.3,-44.9,-41.0,6.320184874044846,2.0332758116683998,5.894689849436748,7.886697661252141,1.1697953037312032
20,0.6,0.0,-28.25,-39.7,-47.0,-44.8,-32.6,3.1098316082352353,3.027940067542881,3.4943563521469123,6.321225730571731,2.21002500581233
21,1.2,0.0,-38.7,-45.75,-52.85,-45.15,-41.8,6.317061275458291,4.1278897374094825,5.029125695700783,3.013565819319104,1.4725559590832482
22,1.2,3.0,-36.7,-43.85,-48.65,-46.3,-23.05,6.790860731430458,15.383774774605532,3.0482954684803594,1.7198531149031608,0.9445132413883333
23,1.2,3.6,-49.4,-39.0,-43.45,-45.8,-28.6,5.985948458462403,2.152110347395882,1.09904264559757,9.88672688107913,2.3260538075868915
24,1.2,6.6,-43.65,-43.75,-43.35,-34.7,-35.7,1.7554426642213088,4.897636379445002,4.804329188072817,4.485062928620312,1.5593520921743178
25,1.8,6.6,-43.6,-34.85,-38.95,-39.25,-38.85,2.458069417888334,4.246050796731128,5.423875095596467,4.423323351698834,4.439950213092129
26,1.8,3.6,-45.45,-39.0,-46.3,-47.7,-22.5,3.720144309594794,2.1521103473958814,3.3732695368768053,10.780586840779074,1.3178930553209385
27,1.8,3.0,-36.75,-43.15,-48.0,-42.25,-26.7,10.66166275172775,3.1165939573093002,2.6357861106418774,4.140620345081793,2.8302873203598033
28,1.8,0.0,-46.6,-42.0,-47.65,-48.0,-42.6,8.305990228998017,1.3764944032233708,2.2070461326349626,4.34074938958216,4.9139971938385
29,2.4,0.0,-40.85,-27.95,-55.75,-53.3,-43.0,3.2488864489074922,2.114486375359024,12.025739937842976,7.874676267364232,4.116718161479194
30,2.4,3.0,-47.95,-32.25,-42.3,-42.5,-33.1,2.8557421378504624,3.1933318682925256,3.5407403329336598,1.1470786693528083,2.7125439603520003
31,2.4,3.6,-45.05,-30.6,-50.75,-39.8,-31.5,2.038446260732605,4.05748171834906,11.396559961118461,2.647739850474262,1.1002392084403623
32,2.4,4.2,-40.75,-38.15,-41.7,-49.6,-32.15,6.942432457075305,2.6212692787233722,3.9616583449491527,6.976652794179047,2.0589982234597786
33,2.4,4.8,-43.65,-35.3,-40.8,-48.95,-32.55,6.2431014559651095,1.4545753585442773,0.6958523739384588,3.8726435959241883,3.561120462350076
34,2.4,6.0,-44.2,-46.35,-39.55,-34.7,-41.55,2.726092248506722,8.060788782090352,2.502104377476982,0.8645047258706176,9.3834961501564
35,2.4,6.6,-46.6,-41.2,-31.85,-48.6,-37.3,5.103146604121606,4.94815223354292,2.300457620378583,10.83561379506438,14.480840336185787
36,3.0,6.6,-43.95,-45.55,-37.85,-40.9,-40.55,9.332879061626555,4.198684004354346,4.545385166934643,3.7261522414302655,3.6487200351269538
37,3.0,6.0,-37.55,-37.7,-35.6,-39.25,-43.4,2.459674775249768,0.8645047258706169,1.9574419397183718,3.7116459676905724,1.8467610337532783
38,3.0,5.4,-46.25,-36.15,-34.65,-48.75,-38.5,12.899918400394714,2.497893849668262,3.8426279384926425,8.359520258206713,4.310330308505492
39,3.0,4.8,-48.7,-43.05,-42.7,-47.35,-37.6,16.05615146914104,2.3277502126799554,4.414092265269928,3.1668513334890003,3.6186650635428066
40,3.0,4.2,-48.4,-36.7,-41.5,-57.75,-42.1,0.7539370349250532,2.6377821625073787,1.2354415362426845,6.331832693869753,5.220405307918857
41,3.0,3.0,-51.2,-38.45,-45.65,-45.9,-41.3,2.9486839169543533,5.862234170833182,2.3680993933621344,0.9119095061289904,14.690132742763081
42,3.0,2.4,-43.85,-29.4,-45.7,-49.7,-35.3,4.094604922783664,1.9841477024816376,2.296450350111302,6.981931568058559,11.131274103079786
43,3.0,1.8,-38.1,-32.55,-44.95,-56.2,-36.3,3.891962027185342,2.5438263760679396,4.2608993367474355,6.582272843742781,7.773775076973119
44,3.0,1.2,-44.4,-39.75,-50.2,-46.3,-38.25,8.92895939006745,15.730878116487633,5.146281232726771,12.599498736896349,14.821304012521265
45,3.0,0.6,-40.65,-21.8,-60.15,-54.6,-39.55,0.9880869341680837,2.9664793948382657,3.6313691777707144,1.1424811411549587,8.255620095298399
